geo_id,scenario_id,paired_scenario,season,weeks,without_clause,with_clause,clause_uplift,squeeze_without,squeeze_with
PADD3,S3,S4,NON_HEATING,650,-7.564102564102884e-05,-7.564102564102884e-05,0.0,0.00185948717948718,0.00185948717948718
PADD3,S5,S6,HEATING,636,-0.00044549266247378543,0.019554507337526176,0.019999999999999712,0.005989779874213833,0.0026928721174004186
PADD3,S5,S6,NON_HEATING,641,0.0006708268330733108,0.0006708268330733108,0.0,0.0056583463338533615,0.0056583463338533615
PADD4,S3,S4,HEATING,634,-6.388012618296426e-05,0.01993611987381696,0.019999999999999712,0.0022797055730809663,0.0005465299684542582
PADD4,S3,S4,NON_HEATING,650,0.00010538461538461292,0.00010538461538461292,0.0,0.002114871794871797,0.002114871794871797
PADD4,S5,S6,HEATING,634,-0.0015265509989484769,0.018473449001051467,0.019999999999999712,0.007727917981072564,0.0030241850683491067
PADD4,S5,S6,NON_HEATING,641,0.0017784711388455533,0.0017784711388455533,0.0,0.006227249089963596,0.006227249089963596
PADD5,S3,S4,HEATING,637,0.000129513343799061,0.02012951334379904,0.019999999999999712,0.0020803244374672904,0.0006117216117216105
PADD5,S3,S4,NON_HEATING,650,-9.15384615384583e-05,-9.15384615384583e-05,0.0,0.002131794871794872,0.002131794871794872
PADD5,S5,S6,HEATING,637,-0.0005081109366823575,0.019491889063317683,0.019999999999999712,0.006853218210361066,0.003210884353741495
PADD5,S5,S6,NON_HEATING,641,0.0007594903796151809,0.0007594903796151809,0.0,0.006483879355174213,0.006483879355174213
PADD5XCA,S3,S4,HEATING,637,0.00012532705389848474,0.020125327053898454,0.019999999999999712,0.0020057561486132914,0.0005677655677655672
PADD5XCA,S3,S4,NON_HEATING,650,-8.948717948717983e-05,-8.948717948717983e-05,0.0,0.0020582051282051254,0.0020582051282051254
PADD5XCA,S5,S6,HEATING,637,-0.0004965986394557829,0.019503401360544192,0.019999999999999712,0.006609890109890115,0.0030617477760334897
PADD5XCA,S5,S6,NON_HEATING,641,0.0007241289651585996,0.0007241289651585996,0.0,0.006251690067602708,0.006251690067602708
US,S3,S4,HEATING,637,-6.0177917320775726e-05,0.019939822082679148,0.019999999999999712,0.002225798011512299,0.0005227629513343797
US,S3,S4,NON_HEATING,650,9.79487179487166e-05,9.79487179487166e-05,0.0,0.0020758974358974364,0.0020758974358974364
US,S5,S6,HEATING,637,-0.0014688644688644807,0.01853113553113551,0.019999999999999712,0.00753950811093669,0.002933281004709576
US,S5,S6,NON_HEATING,641,0.001729069162766509,0.001729069162766509,0.0,0.006117264690587626,0.006117264690587626
