parameter,value,scenario_id,mean_spread,mean_dollars_per_1000_loads,squeeze_share,weeks
regime_threshold,0.03,S1,0.0,0.0,0.0,1289
regime_threshold,0.03,S2,0.009883630721489385,4941.815360744763,0.0,1289
regime_threshold,0.03,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
regime_threshold,0.03,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
regime_threshold,0.03,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
regime_threshold,0.03,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
regime_threshold,0.05,S1,0.0,0.0,0.0,1289
regime_threshold,0.05,S2,0.009883630721489385,4941.815360744763,0.0,1289
regime_threshold,0.05,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
regime_threshold,0.05,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
regime_threshold,0.05,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
regime_threshold,0.05,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
load_miles,250.0,S1,0.0,0.0,0.0,1289
load_miles,250.0,S2,0.009883630721489385,2470.9076803723815,0.0,1289
load_miles,250.0,S3,1.9684019684018423e-05,4.921004921004561,0.3745143745143745,1287
load_miles,250.0,S4,0.00991867391867388,2479.668479668475,0.1686091686091686,1287
load_miles,250.0,S5,0.00013510693792383505,33.77673448095895,0.44209702660406885,1278
load_miles,250.0,S6,0.010103808033385476,2525.952008346373,0.20657276995305165,1278
load_miles,500.0,S1,0.0,0.0,0.0,1289
load_miles,500.0,S2,0.009883630721489385,4941.815360744763,0.0,1289
load_miles,500.0,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
load_miles,500.0,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
load_miles,500.0,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
load_miles,500.0,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
load_miles,1000.0,S1,0.0,0.0,0.0,1289
load_miles,1000.0,S2,0.009883630721489385,9883.630721489526,0.0,1289
load_miles,1000.0,S3,1.9684019684018423e-05,19.684019684018246,0.3745143745143745,1287
load_miles,1000.0,S4,0.00991867391867388,9918.6739186739,0.1686091686091686,1287
load_miles,1000.0,S5,0.00013510693792383505,135.1069379238358,0.44209702660406885,1278
load_miles,1000.0,S6,0.010103808033385476,10103.808033385492,0.20657276995305165,1278
index_lag_weeks,0.0,S1,0.0,0.0,0.0,1289
index_lag_weeks,0.0,S2,0.009883630721489385,4941.815360744763,0.0,1289
index_lag_weeks,0.0,S3,1.9684019684018423e-05,9.842009842009123,0.3745143745143745,1287
index_lag_weeks,0.0,S4,0.00991867391867388,4959.33695933695,0.1686091686091686,1287
index_lag_weeks,0.0,S5,0.00013510693792383505,67.5534689619179,0.44209702660406885,1278
index_lag_weeks,0.0,S6,0.010103808033385476,5051.904016692746,0.20657276995305165,1278
index_lag_weeks,1.0,S1,0.0,0.0,0.0,1288
index_lag_weeks,1.0,S2,0.009875776397515386,4937.888198757764,0.0,1288
index_lag_weeks,1.0,S3,5.313634007257927e-05,26.568170036289537,0.3701399688958009,1286
index_lag_weeks,1.0,S4,0.00994427164333849,4972.135821669257,0.14930015552099535,1286
index_lag_weeks,1.0,S5,0.00015518141477421476,77.59070738710669,0.42991386061080655,1277
index_lag_weeks,1.0,S6,0.010116027146959024,5058.013573479505,0.16836335160532498,1277
